List Name (source); List Value; List Value Name (source); List Value Name (display); List Value Description
FileType; 0; Binary; Binary; Binary File
 ; 1; EvtLog; Event Log; Event Log File
 ; 2; TlmLog; Telemetry Log; Telemetry Log File
 ; 3; JpgImg; JPG Image; JPG Image File
 ; 4; BmpImg; BMP Image; BMP Image File
 ; 5; Payload1; Payload1; Payload1 File
 ; 6; Payload2; Payload2; Payload2 File
 ; 7; Payload3; Payload3; Payload3 File
 ; 8; Payload4; Payload4; Payload4 File
 ; 15; IndexFile; Index; Index File
FileUploadDestination; 2; UlEeprom; EEPROM; EEPROM
 ; 3; UlFlash1; Flash program 1; Flash program 1
 ; 4; UlFlash2; Flash program 2; Flash program 2
 ; 5; UlFlash3; Flash program 3; Flash program 3
 ; 6; UlFlash4; Flash program 4; Flash program 4
 ; 7; UlFlash5; Flash program 5; Flash program 5
 ; 8; UlFlash6; Flash program 6; Flash program 6
 ; 9; UlFlash7; Flash program 7; Flash program 7
 ; 10; UlSdUser1; SD User file 1; SD User file 1
 ; 11; UlSdUser2; SD User file 2; SD User file 2
 ; 12; UlSdUser3; SD User file 3; SD User file 3
 ; 13; UlSdUser4; SD User file 4; SD User file 4
 ; 14; UlSdUser5; SD User file 5; SD User file 5
 ; 15; UlSdUser6; SD User file 6; SD User file 6
 ; 16; UlSdUser7; SD User file 7; SD User file 7
 ; 17; UlSdUser8; SD User file 8; SD User file 8
BootSetProgramsList; 0; RunBootloader; Bootloader; Bootloader
 ; 1; RunInternalFlashProgram; Internal Flash Program; Internal Flash Program
 ; 2; RunEeprom; EEPROM; EEPROM
 ; 3; RunExtFlash1; External Flash Program 1; External Flash Program 1
 ; 4; RunExtFlash2; External Flash Program 2; External Flash Program 2
 ; 5; RunExtFlash3; External Flash Program 3; External Flash Program 3
 ; 6; RunExtFlash4; External Flash Program 4; External Flash Program 4
 ; 7; RunExtFlash5; External Flash Program 5; External Flash Program 5
 ; 8; RunExtFlash6; External Flash Program 6; External Flash Program 6
 ; 9; RunExtFlash7; External Flash Program 7; External Flash Program 7
IntFlashCopyState; 0; WaitingDma; Waiting for DMA; Waiting for DMA
 ; 1; WaitingMcuStatus; Waiting for MCU Status; Waiting for MCU Status
ProgramsList; 0; Bootloader; Bootloader; Bootloader
 ; 1; InternalFlash; Internal Flash Program; Internal Flash Program
 ; 2; Eeprom; EEPROM; EEPROM
 ; 3; ExtFlash1; External Flash Program 1; External Flash Program 1
 ; 4; ExtFlash2; External Flash Program 2; External Flash Program 2
 ; 5; ExtFlash3; External Flash Program 3; External Flash Program 3
 ; 6; ExtFlash4; External Flash Program 4; External Flash Program 4
 ; 7; ExtFlash5; External Flash Program 5; External Flash Program 5
 ; 8; ExtFlash6; External Flash Program 6; External Flash Program 6
 ; 9; ExtFlash7; External Flash Program 7; External Flash Program 7
 ; 10; SdUser1; SD User file 1; SD User file 1
 ; 11; SdUser2; SD User file 2; SD User file 2
 ; 12; SdUser3; SD User file 3; SD User file 3
 ; 13; SdUser4; SD User file 4; SD User file 4
 ; 14; SdUser5; SD User file 5; SD User file 5
 ; 15; SdUser6; SD User file 6; SD User file 6
 ; 16; SdUser7; SD User file 7; SD User file 7
 ; 17; SdUser8; SD User file 8; SD User file 8
BootCause; 0; Unexpected; Unexpected; Unexpected reset
 ; 1; TrxuvI2cError; Not Used; 
 ; 2; CommsTimeout; Communications Timeout; Timeout due to lack of communications
 ; 3; CommandedMcuReset; Commanded; Software commanded MCU reset
 ; 4; CommandedEpsReset; Not Used; 
 ; 5; SramLatchup; SRAM Latchup; Latchup detected in SRAM
BootProgramsList; 0; RunBootloader; Bootloader; Bootloader
 ; 1; RunInternalFlashProgram; Internal Flash Program; Internal Flash Program
 ; 2; RunEeprom; EEPROM; EEPROM
 ; 3; RunExtFlash1; External Flash Program 1; External Flash Program 1
 ; 4; RunExtFlash2; External Flash Program 2; External Flash Program 2
 ; 5; RunExtFlash3; External Flash Program 3; External Flash Program 3
 ; 6; RunExtFlash4; External Flash Program 4; External Flash Program 4
 ; 7; RunExtFlash5; External Flash Program 5; External Flash Program 5
 ; 8; RunExtFlash6; External Flash Program 6; External Flash Program 6
 ; 9; RunExtFlash7; External Flash Program 7; External Flash Program 7
BootStatus; 0; BootNew; New Selection; New Selection
 ; 1; BootSuccess; Boot Success; Boot Success
 ; 2; BootTry1; 1 Failed boot attempt; 1 Failed boot attempt
 ; 3; BootTry2; 2 Failed boot attempts; 2 Failed boot attempts
 ; 4; BootFail; 3 Failed boot attempts; 3 Failed boot attempts
ResetCause; 0; PowerOnReset; Power-On Reset; Power-On Reset
 ; 1; BrownOutRegulated; Brown-Out Detected on Regulated Power; Brown-Out Detected on Regulated Power
 ; 2; BrownOutUnregulated; Brown-Out Detected on Unregulated Power; Brown-Out Detected on Unregulated Power
 ; 3; ExternalWatchdog; External Watchdog Reset; External Watchdog Reset
 ; 4; ExternalReset; External Reset; External Reset
 ; 5; WatchdogReset; Watchdog Reset; Watchdog Reset
 ; 6; LockupSystemReset; Lockup System Reset; Lockup System Reset
 ; 7; LockupReset; Lockup Reset; Lockup Reset
 ; 8; SystemReqReset; System Request Reset; System Request Reset
 ; 9; BackupBrownOut; Backup Brown-Out; Backup domain brown-out reset
 ; 10; BackupModeRst; Backup Mode Reset; Backup mode reset
 ; 11; BackupModeRST_BackupBrownOutVddRegulated; Backup Mode RST and Backup Brown-Out Vdd Regulated; Backup Mode reset and Backup domain brown-out on VDD regulated
