ID; Name (source); Name (display); Description; Frame Length (bytes); Channel Offset (bits); Channel Length (bits); Channel Name (source); Channel Name (display); Channel Data Type; Channel Description; Calibration Function (CHANNELVAL=...); Calibration Function Inverse (USERVAL=...); Unit; Range Min; Range Max; List Name (source); Part-Of-ID; Start Channel; Num Channel; Mirrored TC ID; Group
1; Reset; Reset; Perform a reset; 1; 0; 8; Magic; Magic number; UnsignedInteger; Magic number to make sure it is a valid reset command. Should equal 0x5A; ; ; ; 0; 0; ; ; 0; 0;
2; UnixTime; Current Unix Time; Current Unix Time; 6; 0; 32; Time; Current Unix Time; UnsignedInteger; Time in s since 01/01/1970, 00:00; ; ; s; 0; 0; ;
 ; ; ; ; ; 32; 16; MilliSec; Milliseconds; UnsignedInteger; Current millisecond count; ; ; ms; 0; 0; ; ; 0; 0; Satellite State
3; Cache; Cache enabled state; Cache enabled state; 1; 0; 1; Enabled; Enabled state; Boolean; Enabled state; ; ; ; 0; 0; ; ; 0; 0;
4; ResetLogPtr; Reset Log Pointer; Reset pointer to log buffer (from where LastLogEvent TLM is returned); 0; ; 0; 0;
5; AdvanceLogPtr; Advance Log Pointer; Advance pointer to log buffer (from where LastLogEvent TLM is returned); 0; ; 0; 0;
6; ResetBootRegisters; Reset Boot Registers; Reset Boot Registers; 0; ; 0; 0;
7; DeployMagnetometer; Deploy Magnetometer Boom; Deploy magnetometer boom; 1; 0; 8; Timeout; Timeout; UnsignedInteger; Deployment actuation timeout value; ; ; s; 0; 0; ; ; 0; 0;
8; SramScrubSettings; SRAM Scrub Parameters; SRAM scrubbing size; 2; 0; 16; ScrubSize; Scrub Size; UnsignedInteger; Scrub Size; ; ; ; 0; 0; ; ; 0; 0;
9; UnixTimeSave; Unix Time Save to Flash; Configuration settings for unixtime flash memory persistence; 2; 0; 1; SaveNow; Save Now; Boolean; Save current unixtime to flash memory; ; ; ; 0; 0; ;
 ; ; ; ; ; 1; 1; SaveOnUpdate; Save On Update; Boolean; Save unixtime to flash memory whenever there is a command to update the unixtime; ; ; ; 0; 0; ;
 ; ; ; ; ; 2; 1; SavePeriodic; Save Periodic; Boolean; Save unixtime to flash memory periodically; ; ; ; 0; 0; ;
 ; ; ; ; ; 8; 8; Period; Period; UnsignedInteger; Interval at which to save unixtime to flash memory; ; ; s; 0; 0; ; ; 0; 0;
10; AdcsEnabled; ADCS Run Mode; Set ADCS enabled state & control loop behaviour; 1; 0; 8; Enabled; Enabled; Enumeration; Set ADCS enabled state. When disabled the CubeACP will not use the ADCS I2C bus; ; ; ; 0; 0; AdcsRunMode; ; 0; 0;
11; AdcsPower; ADCS Power Control; Control power to selected components; 3; 0; 2; CubeControlSignalPower; CubeControl Signal Power Selection; Enumeration; Control power to electronics of CubeControl Signal PIC; ; ; ; 0; 0; PowerSelect;
 ; ; ; ; ; 2; 2; CubeControlMotorPower; CubeControl Motor Power Selection; Enumeration; Control power to electronics of CubeControl Motor PIC; ; ; ; 0; 0; PowerSelect;
 ; ; ; ; ; 4; 2; CubeSensePower; CubeSense Power Selection; Enumeration; Control power to the CubeSense; ; ; ; 0; 0; PowerSelect;
 ; ; ; ; ; 6; 2; CubeStarPower; CubeStarPower Power Selection; Enumeration; Control power to the CubeStar; ; ; ; 0; 0; PowerSelect;
 ; ; ; ; ; 8; 2; CubeWheel1Power; CubeWheel1Power Power Selection; Enumeration; Control power to the CubeWheel1; ; ; ; 0; 0; PowerSelect;
 ; ; ; ; ; 10; 2; CubeWheel2Power; CubeWheel2Power Power Selection; Enumeration; Control power to the CubeWheel2; ; ; ; 0; 0; PowerSelect;
 ; ; ; ; ; 12; 2; CubeWheel3Power; CubeWheel3Power Power Selection; Enumeration; Control power to the CubeWheel3; ; ; ; 0; 0; PowerSelect;
 ; ; ; ; ; 14; 2; MotorPower; Motor Power; Enumeration; Control power to Motor electronics; ; ; ; 0; 0; PowerSelect;
 ; ; ; ; ; 16; 2; GpsLnaPower; GPS Power; Enumeration; Control power to GPS LNA; ; ; ; 0; 0; PowerSelect; ; 0; 0;
12; ClearErrors; Clear Errors; Clear Latched Error Flags; 1; 0; 1; ADCSErrors; ADCS Error Flags; Boolean; Clear ADCS error flags; ; ; ; 0; 0; ;
 ; ; ; ; ; 1; 1; HKErrors; HK Error Flags; Boolean; Clear HK Error flags; ; ; ; 0; 0; ; ; 0; 0;
13; ControlMode; Set Attitude Control Mode; Set attitude control mode; 4; 0; 8; ControlModeSelection; Control Mode; Enumeration; Attitude control mode; ; ; ; 0; 0; ConModeSelect;
 ; ; ; ; ; 8; 1; OverrideErrors; Override flag; Boolean; Ignore current state and force control mode (if this flag is not set, certain control transitions will not be allowed); ; ; ; 0; 0; ;
 ; ; ; ; ; 16; 16; Timeout; Timeout; UnsignedInteger; Control timeout duration. Control will revert to None when timer reaches zero. 0xFFFF for infinite timeout; ; ; s; 0; 0; ; ; 0; 0;
14; EstimMode; Set Attitude Estimation Mode; Set attitude estimation mode; 1; 0; 8; EstimModeSelection; Attitude Estimation Mode; Enumeration; Attitude estimation mode; ; ; ; 0; 0; EstimModeSelect; ; 0; 0;
15; CmdAttitude; Commanded Attitude Angles; Commanded attitude angles; 6; 0; 16; Roll; Commanded Roll Angle; SignedInteger; Commanded roll angle; RAWVAL*0.01; USERVAL*100.0; deg; -9000; 9000; ;
 ; ; ; ; ; 16; 16; Pitch; Commanded Pitch Angle; SignedInteger; Commanded pitch angle; RAWVAL*0.01; USERVAL*100.0; deg; -18000; 18000; ;
 ; ; ; ; ; 32; 16; Yaw; Commanded Yaw Angle; SignedInteger; Commanded yaw angle; RAWVAL*0.01; USERVAL*100.0; deg; -18000; 18000; ; ; 0; 0;
16; TorquerCmd; Set Magnetorquer Output; Set magnetorquer output (only valid if Control Mode is None); 6; 0; 16; TorquerX; Commanded X Magnetorquer duty cycle; SignedInteger; Commanded X-torquer duty cycle; RAWVAL*0.001; USERVAL*1000.0; ; -800; 800; ;
 ; ; ; ; ; 16; 16; TorquerY; Commanded Y Magnetorquer duty cycle; SignedInteger; Commanded Y-torquer duty cycle; RAWVAL*0.001; USERVAL*1000.0; ; -800; 800; ;
