ID; Name (source); Name (display); Description; Frame Length (bytes); Channel Offset (bits); Channel Length (bits); Channel Name (source); Channel Name (display); Channel Data Type; Channel Description; Calibration Function (CHANNELVAL=...); Calibration Function Inverse (USERVAL=...); Unit; Range Min; Range Max; List Name (source); Part-Of-ID; Start Channel; Num Channel; Mirrored TC ID; Group
128; Identification; Identification; Identification details ; 8; 0; 8; NodeType; Node type; UnsignedInteger; CubeComponent node number (For internal use); ; ; Node Type; 0; 0; ; 
 ; ; ; ; ; 8; 8; InterfaceVersion; Interface version; UnsignedInteger; The TLM and TCMD interface version; ; ; Version; 0; 0; ; 
 ; ; ; ; ; 16; 8; FirmwareVersionMajor; Firmware version major; UnsignedInteger; The firmware version major number (V major.minor ); ; ; Version; 0; 0; ; 
 ; ; ; ; ; 24; 8; FirmwareVersionMinor; Firmware version minor; UnsignedInteger; The firmware version minor version (V major.minor); ; ; Version; 0; 0; ; 
 ; ; ; ; ; 32; 16; RuntimeMilliseconds; Runtime milliseconds part; UnsignedInteger; Runtime milliseconds part; ; ; ms; 0; 0; ; 
 ; ; ; ; ; 48; 16; RuntimeSeconds; Runtime seconds part; UnsignedInteger; Runtime seconds part; ; ; s; 0; 0; ; ; 0; 0;  
129; ExtendedIdentification; Extended Identification; Identification details continued; 11; 0; 16; SerialNumber; Serial number; UnsignedInteger; Serial number; ; ; Serial Number; 0; 0; ; 
 ; ; ; ; ; 16; 16; Temperature; MCU temperature; SignedInteger; MCU temperature; RAWVAL/100.0; USERVAL*100.0; Degrees Celsius; 0; 0; ; 
 ; ; ; ; ; 32; 8; ResetCause; Reset cause; Enumeration; Reset cause; ; ; ; 0; 10; ResetCause; 
 ; ; ; ; ; 40; 16; WDGResetCount; Watchdog reset counter; UnsignedInteger; Watchdog reset counter; ; ; Counter; 0; 0; ; 
 ; ; ; ; ; 56; 16; TcmdCount; Telecommand counter; UnsignedInteger; Telecommand counter; ; ; Counter; 0; 0; ; 
 ; ; ; ; ; 72; 16; TlmCount; Telemetry counter; UnsignedInteger; Telemetry counter; ; ; Counter; 0; 0; ; ; 0; 0;  
130; ErrorFlags; Error Flags; Error Flags; 10; 0; 1; OverCurrent; Over-current; Boolean; An overcurrent condition has been detected; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 1; 1; UnderCurrent; Under-current; Boolean; An under current condition has been detected; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 8; 1; UART_ProtocolError; UART protocol error; Boolean; The UART communication protocol was not followed; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 9; 1; UART_TcmdBufOfError; UART telecommand buffer overflow; Boolean; The UART telecommand buffer can only store 4 telecommands which must be executed at any given time. Normally this buffer will always be empty since the telecommands are processed quickly; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 10; 1; UART_Tcmd_TooManyParm; UART telecommand too many parameter received; Boolean; To many parameters were received for the received telecommand ID.; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 11; 1; UART_Tcmd_TooFewParm; UART telecommand too few parameter received; Boolean; The fesw parameters were received; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 12; 1; UART_MsgIncomplete; UART message incomplete; Boolean; An incomplete message was received; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 13; 1; UART_RXTimeout; UART Rx timeout; Boolean; UART Rx timeout; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 16; 1; I2C_WaitForIDReadRequestError; I2C wait for ID read request error; Boolean; When the I2C is in an idle state it is waiting for a new ID it should not receive a read request, but a write request followed by a repeated start as per the I2C protocol; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 17; 1; I2C_TcmdBufOFError; I2C TCMD buffer overflow; Boolean; The I2C telecommand buffer can only store 4 telecommands which must be executed at any given time. Normally this buffer will always be empty since the telecommands are processed quickly; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 18; 1; I2C_TCMD_TooFewParm; I2C TCMD too few parmeters received; Boolean; The amount of received parameters are to view for the command ID received.; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 19; 1; I2C_TCMD_TooManyparm; I2C TCMD too many paramters received; Boolean; The amount of received parameters are to many for the command ID received.; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 24; 1; SPICommsError; SPI comunications error; Boolean; SPI comunications error; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 25; 1; StatusError; Status error; Boolean; Status error; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 26; 1; ISSetupError; Image sensor setup error; Boolean; Image sensor setup error; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 27; 1; TestPatternConfigError; Test pattern configuration error; Boolean; Test pattern configuration error; ; ; Flag; 0; 0; ; 
 ; ; ; ; ; 28; 1; ImageCaptureError; Image capture error; Boolean; Image capture error; ; ; Flag; 0; 0; ; 
